date,topic,speaker,text,category,text_length
2024-09-26,Departmental Priorities,Deputy Helen McEntee,"The Tánaiste's comments relate to the difference between the British and Irish systems subsequent to days of riots in multiple cities across the UK. I am saying clearly that the difference between the United Kingdom and Ireland is that police over there had access to evidence and information which allowed them to obtain early guilty pleas when bringing people before the courts and to achieve earlier prosecutions. What I am doing to rectify the situation here is introducing body cameras. These are now in operation across three areas. They are already being used. The first prosecution took place in recent weeks. These cameras will ensure that gardaí have access to footage. The introduction of facial recognition technology means that, instead of months being spent trawling through CCTV, similar to the UK, we would be able to access that information and identify individuals within hours. Other legislation is being brought forward to ensure that individuals cannot wear masks in scenarios such as those we are discussing, which means that they would be more easily identifiable. All this work will allow gardaí to bring prosecutions more quickly and ensure that the necessary evidence is available. Separate from that is the fact that my appointment of 24 plus six judges, including judges for the High Court, in the past two years has given rise to a reduction in waiting times in our courts. I intend to appoint 20 more judges. There is a huge amount of work under way to make sure that our system is efficient and effective and that, where gardaí do their job, prosecutions can take place as quickly as possible.",Government & Administration,1624
2025-02-20,Military Exports,Deputy Cathy Bennett,"I understand the Department's position is that the officials provide a thorough risk-assessment to ensure that, in the Minister of State's own words, as far as possible, items are only used for their stated purpose. The Government has intervened in a case before the International Court of Justice where Israel is on trial for the crime of genocide. The Tánaiste and Minister for Foreign Affairs, the Fine Gael Party leader, has referenced revenge, deliberate starvation and war crimes committed by Israel. Does the Minister of State not believe it would be prudent for her to have responsibility for ensuring Ireland is certain we do not export any component that could be used in committing war crimes against Palestinian civilians? At this time, when the House has rightly named Israel's actions in Gaza as genocide, and when the Tánaiste and Minister for Foreign Affairs speaks of Israeli war crimes, does the Minister of State, with certainty within her powers, believe ""as far as possible"" is an acceptable standard?",Defence & Security,1022
2025-06-10,Data Centres,Deputy Pa Daly,"Does the Minister have a view on what the CRU said about mandating data centres to have a supply of electricity for themselves? Access to public infrastructure and our natural resources has been prioritised for data centres. However, the energy regulator in the Netherlands has the power to prioritise projects that identify social goals which can be prioritised for connection to the energy grid. That does not seem to be the case here. Does the Minister have an opinion on that? He must examine these measures and their applicability here. Ordinary workers and farmers cannot continue to shoulder a disproportionate burden by paying for the grid through network charges - we spoke earlier about the unfairness of how these are distributed - when data centres are being given the green light to gobble up all the new capacity that has become available in recent years. In other jurisdictions, these centres pay a larger amount towards essential infrastructure. The exact same should happen here. If the Government is serious about prioritising the construction of new housing, it must follow this path.",Energy & Environment,1103
2025-06-10,Disability Services,Deputy Conor D. McGuinness,"September is just around the corner. Despite a flurry of announcements earlier this year, there is still no sign of delivery on special education. I say that because Knockmahon National School in Bunmahon in my county, Waterford, received approval from the NCSE in 2023 to provide an autism class but was refused funding this April. St. Mary's nationals school in Grange also in County Waterford was given no answer as to why the Department has ignored a SENO report asking for an increased SNA allocation. Scoil Gharbháin in Dún na Mainistreach, Dún Garbhán, was granted funding by the Department in December 2024 for space needed this September. Contact from the design team which was promised in February has not come. Garranbane National School just outside Dungarvan needs a second autism class immediately. A modular option would take two years at the minimum and would push back the prospect of a permanent building with additional mainstream classrooms and the school is forced into an unenviable choice. Extra space was sanctioned in St. John's Special School in Dungarvan by the Minister earlier this year. There is no sign of delivery or impetus from the Government to get those spaces. Ballycurrane National School in west Waterford is still waiting for a reply from the Department to a letter sent in January asking for its views on provision of a special class.",Health,1375
2025-04-01,Trade Relations,Deputy Simon Harris,"I propose to take Questions Nos. 131, 144, 145, 150 and 157 together. I thank Deputy Boland for this question. I reiterate that I deeply regret the US decision to impose tariffs on steel, aluminium and derivative products from the EU and other trade partners, effective from 12 March last. I am also aware of the announcement by the US Administration on 26 March of its plans to introduce tariffs against the auto sector from 2 April. I met my counterpart from Slovakia in recent days, a country with a major car industry. We are all conscious in Ireland and across the European Union tonight that tomorrow there is a high likelihood President Trump will announce further potential action by the United States. I assure Deputy Boland and the people of this country that the EU will take necessary and proportionate action to defend the interests of Irish and European businesses, workers and citizens. We already announced our response to the steel and aluminium tariffs. Implementation work, including the fine-tuning of the announced countermeasures, is ongoing and it is currently planned that these will come into effect in mid-April. I welcome that the Commission has extended the implementation period because it is important to provide space for negotiation with the United States. We do not want tariffs. We want talks, not tariffs. We want engagement. It is important to emphasise that. It is essential the maximum use of that time is made. Close co-ordination with the European Commission will be essential in the period ahead. I will continue to remain in close contact with all stakeholders and our EU partners. Every opportunity for negotiation must be used. Ireland will advocate for an outcome which enhances the existing and strong transatlantic trading relationship. In my discussions at an EU level with the Commissioner for Trade and Economic Security, Maroš Šefčovič, I have also conveyed Ireland's sensitivities with regard to the EU countermeasures currently under preparation. We need to be cognisant of potential additional retaliatory measures by the US and the impact they could have on the Irish and EU economy, including for the Irish beverages and dairy sectors. The Irish position is crystal clear. We want to avoid a series of escalating tariffs. They are economically counterproductive and would disrupt deeply integrated supply chains which benefit businesses and employers on both sides of the Atlantic. Tariffs drive inflation and hurt consumers. Increased protectionism is not in the interests of our citizens or businesses. I have also engaged with the US Administration. Last Monday into the early hours of Tuesday morning, I had a constructive and engaging call with the US secretary of commerce, Howard Lutnick. We agreed to keep in close contact. As I already told the House, I am chairing a meeting of the Government trade forum on an ongoing basis to bring together business stakeholders, State agencies and relevant Departments to share the best information and insights and plan a way forward. I will continue my engagement with all stakeholders here at home, the Commission, other EU trade ministers and the US Administration. I will attend the meeting of EU trade ministers on 7 April in Luxembourg. This will be a key meeting for us to collectively discuss the global trading landscape and how best to respond. This country remains committed to the principles of free and open trade which have underpinned our economic success. Free and open trade brings economic opportunities, creates well-paid jobs and fosters innovation. It builds economic resilience within a strong rules-based international trading system. I reiterate there still remains a window of opportunity for negotiation to reach agreement on the suspension of tariffs. President Trump seems intent on having his day tomorrow and making his announcements. That is up to him. We cannot control that. What needs to happen after that announcement is intensive engagement to find a way forward that is good for all of our people.",Foreign Affairs & Trade,4038
2025-05-01,Social Welfare Schemes,Deputy Louise O'Reilly,"Certain groups of people, including seasonal workers and school caretakers, in particular, are excluded from pay-related jobseeker's benefits and allowances. Seasonal workers are every bit as unemployed when they are not working; it is just that they are unemployed for a specific period. Will the Minister give some consideration to including those people, who we rely on and lean on in the seasons when they work? It is not their fault they do not have work. The Minister knows that well. They are available for work but it is very tough to find work. School principals and teachers will tell you these workers are very much necessary and needed. They like that continuity of service but these workers feel very aggrieved, and rightly so, that they have been excluded from the programme.",Social Welfare,789
2025-06-17,Departmental Reports,Deputy Mark Ward,"The Dublin city task force and Dublin City Council recommended that a single waste management company should provide bin collection services, with a further recommendation that, in the long term, waste services should be taken under the control of Dublin City Council. This is positive and will be welcomed by householders across Dublin. The Oireachtas Joint Committee on the Environment and Climate Action made a similar recommendation. The wholesale privatisation of bin services in 2012, which was opposed every step of the way by Sinn Féin, has been a complete and utter disaster for Dublin. It has led to a wild west situation, where up to a dozen bin companies charge ever-increasing prices for a service that is not fit for purpose. Waste management companies are operating like a cartel. Will the Government's task force on Dublin tackle the privatisation of waste management and bring it back to public ownership?",Government & Administration,922
2025-06-17,Childcare Services,Deputy Joe Cooney,"I have heard about a very low number of social workers and extremely high rates of staff burnout and staff turnover in Clare. This has resulted in severely traumatised children being handed from one social worker to another, with little or no continuity of care. I have heard of children with a foster family or residential placement being put into special emergency arrangements, through the out-of-hours service. This only operates from 6 p.m., as the Minister is aware, and children can be placed anywhere around the country. Social worker staff have to transport these very vulnerable children from to Clare to wherever a place is available, perhaps in Donegal, Cork or wherever else. Concerns have been raised with me that some that some of these providers may be unregulated and that the care being provided may not be the most appropriate for the needs of these children. I have heard from foster families who have to deal with increasingly complex care needs of vulnerable children who have been left without appropriate levels of support. I ask the Minister for an update.",Health,1081
2024-07-02,Defence Forces,Deputy Thomas Gould,"I have listened to the Tánaiste's comments about questions and I understand the point he is making that he is limited in what he can say because some of these cases are in front of the courts and others are probably being looked at by senior people in the Defence Forces. I understand he is in a particular situation in that regard. I also listened to his comments about trying to change the whole culture within the Defence Forces. It is a huge job of work. I have been a Member of the House more than four years and I remember the first time I met the people involved with the Women of Honour and how they fought and are still fighting for justice, fairness, transparency and the change of culture they believe needs to happen. We can disagree on politics and we have different opinions, but the Tánaiste has a huge job of work to change the whole culture in the Defence Forces.",Defence & Security,880
2025-05-29,Flood Relief Schemes,Deputy Peter 'Chap' Cleere,"I thank the Minister of State for his comprehensive response. I get that flood relief schemes are complex projects and there is a lot of detailed engineering analysis, public engagement, etc. I will focus on the Graiguenamanagh-Tinnahinch flood relief scheme specifically. In 2018, funding was announced for this project following significant funding in 2016. The Minister of State was in this role in a previous Government. In 2020 I was chairman of Kilkenny County Council. In March 2020 a €9 million contract for a flood relief scheme was signed that was going to sort out Graiguenamanagh and Tinnahinch. It was a joint initiative between Kilkenny and Carlow County Councils. As the Minister of State said, planning permission has not even been applied for yet. We are looking at quarter 3 of this year. Is there anything at all we can do to speed this up? Will the Minister of State come down to Graiguenamanagh and meet the people there? I mention the devastation that it caused nine years ago and we still do not have a long-term solution, notwithstanding all the works. I know €9 million has been approved but that was in 2018. Will additional funding be made available should the project go above that particular amount?",Transport & Infrastructure,1228
2025-03-20,An Garda Síochána,Deputy Naoise Ó Cearúil,"We have seen an exceptional Garda recruitment campaign recently in February. I commend the Minister and An Garda Síochána on this. However, there are ready-made police officers and there is a barrier to them becoming gardaí. Can the Minister provide an update on the progress of section 50 regulations required to open up and facilitate the transfer of a PSNI officer to the ranks of An Garda Síochána and will he make a statement on the matter?",Defence & Security,445
2025-02-27,School Accommodation,Deputy Cathal Crowe,"I thank the Minister State for that. That is indeed a very positive update. The school has applied for the replacement of its old prefab classrooms. In total, there are five classrooms in an older block of the school that was built in 1968. The school has applied to the Department to replace these and provide a new staffroom and entrance area. The classrooms are small, draughty, cold and damp. The walls are decaying on the roof has perished. I have first-hand experience of some of these classrooms because, as the Minister of State knows, I taught for 16 years prior to my election to the Dáil. During the Covid pandemic, when there were staff shortages due to illness, I did a couple of unpaid subbing days in the school. I was in one of the old classrooms. The wind howls around it and the walls are actually buckled because they are so old. Some of the windows have dislodged from where they were first fixed. The classrooms need to be replaced. What we are hearing today is really positive but there needs to be an acceleration because, when I think of the beautiful new schools I see around the country, I note Clonlara school is not one of them. Its classrooms are not fit for teaching in and the staffroom is not fit for the staff. It does not fit the modern curriculum. While there is good news, acceleration is needed.",Housing,1332
2024-10-15,Energy Conservation,Deputy Eamon Ryan,"The community energy grant scheme is part of the Government's national retrofit programme. It aims to upgrade groups of buildings to high energy efficiency and renewable energy standards across communities in an efficient and cost-effective way. Capital funding of €45 million is provided for the scheme this year. The primary objective of the scheme is to support and maximise the number of home energy upgrades delivered. This includes upgrades to energy-poor, private, rental and approved housing body homes. Last year, 601 home energy upgrades were supported under the scheme, including 44 energy-poor homes and 68 approved housing body homes. Non-domestic projects are also supported to encourage broader community engagement and mobilisation, and 290 non-residential projects were also supported last year. Other objectives include: building capacity by working with project co-ordinators on large-scale and complex projects; supporting cross-sectoral partnership approaches targeting public, private, commercial and community buildings; encouraging the retrofitting of rental properties; helping to develop the retrofit supply chain; building relationships with communities and businesses; and developing community project management capacity. A number of changes to the scheme guidelines were introduced this year, including: support for projects focused solely on residential upgrades; improved supports to address the particular challenge of retrofitting multi-unit developments such as flat complexes, such as scaffolding and communal areas; and a pilot focused on area-based home retrofit projects which will encourage CEG project co-ordinators, local authorities and local energy agencies to collaborate, with an ethos of leaving no home behind.",Energy & Environment,1758
2024-09-24,Social Welfare Code,Deputy Donnchadh Ó Laoghaire,"The Minister will be familiar with the issue of the widow's and widower's pension. There was a Supreme Court decision in January this year. On 18 June, the Minister said it was her intention to enact legislation before the Dáil recess and that a small amendment was required. That has not happened. I am looking for an update on the extension of the pension payment to non-married and cohabiting couples on account of the Supreme Court decision.",Social Welfare,445
2025-02-27,Social Welfare Payments,Deputy Roderic O'Gorman,"I appreciate the Minister's clarification that the baby boost payment is here to stay. It is an initiative that the Green Party and I are proud to have led in introducing. A universal payment that is targeted at a particular time in a family's life where almost every single family is under pressure financially when a new baby arrives is a meaningful step the Government and the State can take to help. The programme for Government makes reference to other targeted payments, particularly looking at a new targeted child benefit payment. When will we find out more information about the Minister's and his Department's thinking on this? Does he see it as simply bringing together some existing payments such as the working family and qualified child benefit payment or is he thinking about this as something new, which will give additionality to children and families who are maybe most at risk of child poverty?",Social Welfare,913
2024-10-10,Ukraine War,Deputy Micheál Martin,"Two and a half years on from Russia’s full-scale invasion, Ukraine continues to face immense challenges. With the Taoiseach, I recently announced a €36 million package of support for Ukraine and its immediate neighbours, which builds on the extensive political, humanitarian, military and economic support provided since February 2022. It will provide much-needed humanitarian support and development assistance to people suffering the impact of this unjust war. Our approach has been to provide support bilaterally and through multilateral organisations to meet ongoing humanitarian needs and assist progress towards early recovery and eventual reconstruction. Ireland has provided €3 million to the World Bank IDA crisis facility special programme for Ukraine and Moldova, SPUR. SPUR represents one half of a larger IDA crisis facility aimed at addressing the urgent needs arising from overlapping global crises in the immediate region and the wider region. There is a particular focus on food insecurity and extreme climate events, which have been exacerbated by the war in Ukraine. The programme finances reconstruction and recovery investments in Ukraine and complements ongoing efforts by multilateral and bilateral partners. It also provides additional resources to Moldova, which continues to host a large refugee population from Ukraine. The special programme for Ukraine and Moldova works as a complementary channel to other World Bank programmes, which Ireland has funded, including the public expenditures for administrative capacity endurance facility and the Ukraine relief, recovery, reconstruction and reform trust fund. The World Bank currently estimates the overall reconstruction bill at $486 billion over the next decade, a figure which undoubtedly rises each day. Overall, Ireland has committed €380 million in assistance to the Ukrainian people since February 2022, including €130 million in stabilisation and humanitarian support and €250 million in non-lethal military assistance under the European Peace Facility.",Foreign Affairs & Trade,2038
2025-03-27,Rural Schemes,An Cathaoirleach Gníomhach (Deputy Aidan Farrelly),"For the information of Members present, we cannot take supplementary questions on priority questions. Apologies to Members.",Agriculture & Rural,123
2025-06-12,Military Neutrality,Deputy Simon Harris,"I propose to take Questions No. 2 and 4 together. I thank Deputy Gibney for the question. As she is aware and has alluded to, I brought forward the general scheme of the defence (amendment) Bill 2025, which amends the legislation underpinning overseas deployments of the Defence Forces. This was agreed by Cabinet on 4 March. The Bill will, among other things, provide for the modification of the existing requirement regarding the dispatch of the Defence Forces for service outside the State as part of an international force. Under the current proposals in the general scheme to amend the existing legislation, the requirement for a UN mandate will be removed. I wish to again underline that the legislation in place currently allows members of the UN Security Council, by means of a veto or indeed threat of same, to bind Ireland's hands in its international peacekeeping engagements. The veto by a UN Security Council member on a proposed resolution for a full and unconditional ceasefire in Gaza on 4 June last is further evidence of this. It is simply untenable for this Government to continue with this policy. I recently saw some people at a press conference opposing the abolition of the triple lock and then asking me to send the Navy to the humanitarian blockade in Gaza. There would not be a UN mandate to do that. The inconsistency in respect of this is quite breathtaking. I strongly believe that such consideration on international engagements should be within our sovereign control. The people of Ireland decide where our peacekeepers go. Their democratically elected officials decide, not people who have never received one vote in any constituency in this country. That is how our democracy works. It is how many neutral countries work as well. The triple lock is not the norm in other neutral countries. In my view and the view of the Government, the decision-making should be within the remit of the Government of the day and the people's representatives in Dáil Éireann, people who have been democratically elected. I very much recognise, however, that in removing the UN Security Council mandate there is a need to provide alternative safeguards to underpin the future dispatch of Defence Forces personnel. I am very open to the Deputy. This is why we publish draft legislation and have pre-legislative scrutiny. I am very open to working across the House on this. So far my thinking on this is that in parallel with removing the UN mandate requirement, I have proposed that governing principles will be included in the legislation. Those already proposed in the draft Bill will require that the mandate of these operations must be consistent with and adhere to the principles of the UN Charter and international law. The UN Charter is the bedrock here. If there is a view that we need to strengthen that, I am happy to engage. In assessing any request to participate in a mission, among the main considerations are its compliance with Irish law and our foreign policy. Other elements include consent of the host nation. This is important as I have heard people asking if this could apply to non-peacekeeping or peace enforcing. Further elements are trust in partners in the operation and that the operation operates in accordance with international law and is consistent with the UN Charter. In evaluating proposals to join an operation consideration of the legal framework, rules of engagement, concept of operations also form the basis of deliberations. I would also like to highlight the current legal framework that applies for EU military missions. Under Article 21 of the Treaty of the European Union the Union’s action shall be guided by the principles of democracy, the rule of law, the universality and indivisibility of human rights and fundamental freedoms, respect for human dignity, the principles of equality and solidarity, and respect for the principles of the United Nations Charter and international law. During the drafting process these principles will be refined to make sure we provide legal effect to them, and I would welcome any further suggestions on safeguards from the committee and from Members. I look forward to the pre-legislative scrutiny report of the Committee on Defence and National Security. I wish to underline again that the proposed amendments to the legislation are in keeping with Ireland’s values and policy of being militarily unaligned and being militarily neutral, and these changes do nothing, and do not wish to do anything, to undermine that policy. As this House is aware, Ireland’s policy of military neutrality is characterised by the non-membership of military alliances or common or mutual defence arrangements, which is set out in the Constitution. These legislative proposals have no effect on the Constitutional provision that underpins this policy.",Defence & Security,4830
2025-02-27,Education Schemes,Deputy Helen McEntee,"I want to ensure every young person gets the support they need, particularly those who need additional support, be it through the DEIS programme, DEIS plus or any other way because we know it works. The gap in retention rates between DEIS and non-DEIS schools have halved from 16.8% to 8.4% since the programme began. We know that focus and targeted intervention works. It is about how we make sure more children benefit from it, how those children who are not in DEIS schools get that support and if further expansion of the programme is needed, that can happen. According to international studies, children at risk of educational disadvantage in Ireland have higher and better outcomes because of that targeted focus. I also see a huge role for our youth organisations and they will come under the Department's remit. It is important the very real and tangible actions taken by our youth organisations are realised as part of this overall plan to tackle disadvantage and support those children who need it most.",Education & Childcare,1013
2025-02-11,Middle East,Deputy Simon Harris,"I have been very clear on the EU, and I have said it many times. I said it in my previous role as well that I think the European Union, in many parts of the world, could have done even more to apply more pressure to bring about a ceasefire. However, I am very conscious, in the context in which we are talking tonight, that there is a ceasefire in place but the ceasefire is extraordinarily fragile. There have been remarks in the past number of hours that are alarming, concerning and threaten to further undermine that ceasefire. We need the hostages released. They need to be back with their families. We need the aid to flow and an ability to get humanitarian aid at scale into Gaza. Any return to hostilities, conflict and violence would be unbearable. The agreement on a hostage release and ceasefire deal was long awaited. It was much welcomed. Too many innocent people have been killed in Gaza and in Israel since the conflict commenced. The US has played an important role in helping to secure the ceasefire and I really believe there is a role for everybody in the international community to do everything humanly possible to keep that ceasefire in place. That must be our immediate priority. I welcome the association agreement meeting. I will speak up very strongly with regard to Ireland's views on all these matters but maintaining the ceasefire has to be the immediate priority.",Foreign Affairs & Trade,1393
2025-06-19,Small and Medium Enterprises,Deputy Peter Burke,"I propose to take Questions Nos. 9 ,10 and 16 together. I thank the Deputies for these important questions on the SME sector. Ireland's SME sector has faced a number of economic shocks in recent years and these have resulted in very significant cost increases. While most of these have been international in nature, with energy price inflation the most significant, there have been costs associated with domestic measures, including policies aimed at improving working conditions. Although there have been improvements in wholesale price inflation, business costs and especially energy prices remain elevated. Our small size and peripheral location contribute to higher electricity prices in Ireland. We also have a widely spread, low-density population, which means that network and connection costs are higher. The Government has been active in providing support for businesses facing increased costs over the past several years. In April 2024, I announced a substantial package of measures that continue to aid firms. These measures included increased payments under the innovation grant scheme and the energy efficiency grant scheme and the implementation of an enhanced SME test on Government decisions. The National Enterprise Hub was launched in 2024 and has been designed as an entry point to aid businesses to find relevant supports and help for their business. Most recently, budget 2025 provided for the introduction of the power up grant and introduced changes which reduced costs by means of the increased employer PRSI threshold. The programme for Government set out a commitment to establish a cost of business advisory forum. The first meeting of the forum took place on 11 June where numerous organisations representing Ireland’s enterprise sector were joined by officials from a variety of State agencies and Government Departments. It is anticipated the forum will meet regularly over the coming six months, with each meeting devoted to a distinct area of concern to businesses, including business costs, infrastructure and regulation. In response to international economic developments and in line with other commitments in the programme for Government, we have also accelerated the timeframe for the development of the action plan for competitiveness and productivity. The action plan is currently being prepared and discussions on competitiveness will be had at the summit in July. The plan will focus on domestic policy measures, which can make the Irish economy more competitive and resilient to economic shocks. It is expected that the plan will address areas that are currently impacting on the ability of SMEs to compete internationally, including costs, SME scaling and increasing the rate of research, development and innovation among firms, which will be critical. We have taken a number of actions over the past months since my appointment as enterprise Minister, and we will continue in that vein. We are coming to our fourth piece of omnibus legislation in an EU context. At the heart of that is doing things, as I mentioned, simpler, faster and lighter. We need to bring that to the heart of the enterprise sector. The Deputy will be aware we have taken a number of decisions on sick pay, the trajectory to a living wage and trying to ensure businesses remain viable so employment can be retained at the significant point it is. He will be aware also that we have increased employment by approximately 90,000 over the past year. That is 90,000 families with an additional income going into them. We all know that high-value jobs are the best route to meet one's ambition in life and to give everyone a fair chance. We are focused on delivering that. At our competitiveness summit we will have a significant focus on infrastructure. Working with the Minister, Deputy Chambers, we are trying to put together a competitive fund within the Department. We know the priorities of the current national development plan review are housing, water and wastewater, energy and our competitiveness. Those are the four key areas. That is why, as a Government, we need to prioritise those with a laser focus because if everything is a priority, then nothing is a priority. We need to be clear on that and send that signal strongly to the enterprise sector. We are also focusing, in the context of budget 2026, on our value proposition as a country. It will be key for the SME sector. Taxation changes like VAT will be important for the hospitality sector. It is important in the programme for Government talks that we work towards and deliver on those to ensure we are giving a strong stimulus to those sectors that are most vulnerable. We know across the economy that approximately three quarters of all minimum wage workers exist in retail and hospitality. That is a significant challenge to those businesses because of the regulatory impact it has had. No other Government has done as much for employment rights and supporting the well-being and rights of employees, but we also have to be cautious to ensure businesses remain viable on that trajectory. That is why it is key in decisions taken to ensure that and to ensure businesses continue to grow and prosper. Last week, subject to the establishment of our small business unit, we had our first meeting of the cost of business advisory forum, which had a huge turnout from many of the regulators and a lot of the State agencies. We need to be clear that we are charting a pathway forward. The interoperability of some of these rules and regulations set by independent regulators from different areas and how they impact on the costs and viability of business can be significant. We need to take a number of actions in that regard. That is why the outworkings of that forum will be critical in delivering the Government's vision of supporting our SME sector and keeping that growth. As I always point out, and as I did in reply to Question No. 2, many of these businesses that employ two thirds of people across our country are operating from the kitchen table. They do not have a finance director or HR director. They are doing all of that work themselves. They are working from five to nine and we in government need to do everything to vindicate their efforts and ensure they remain viable, which is key to our economic success.",Economy & Business,6307
2025-05-08,Military Neutrality,Deputy Simon Harris,"A specific example of where we wanted to participate was the European Union peace operation in the Former Yugoslav Republic of Macedonia. When the European Union wants to deploy peacekeepers and the Irish Government and the Dáil want to deploy peacekeepers, I do not think it is up to Donald Trump, Vladimir Putin or, frankly, anybody else to decide whether we can do that.",Defence & Security,373
2025-05-08,Public Transport,Deputy Pa Daly,"I have two final questions. First, the last time we debated on Oral Questions I asked the Minister to explicitly rule out public transport fare increases. Has he come to a decision on that? The second question has been rumbling on since Covid. It seems that in the transport plan, there is a policy to have a food and drinks ban on train services to the west. For people travelling, students, old age pensioners, everyone - even five or six TDs get the train up from the west - they cannot get any food or drink on those trains. The Minister will say it is a matter for Iarnród Éireann but he is Minister for Transport. We have received assurances in recent years. That the tender would be awarded in early 2024 was mentioned. A response from Irish Rail said that though the tendering process was in its advanced stages, the NTA had yet to make a funding decision on it. People get up early in the morning and have to wait four hours without even a glass of water on the train. We received responses in February and May but the service is still not restored.",Transport & Infrastructure,1058
2025-05-22,Further and Higher Education,Deputy Marian Harkin,"It is very good news that Galway was one of two colleges given approval to proceed to the next step under the FET college of the future major projects fund. A total of 12 colleges have been earmarked and eight of them are progressing now. The Minister announced earlier this week that Galway was one of those eight colleges. Of course, the other four are on stream. Returning to the Deputy's contribution, it is important to say when we talk about this new FET strategy that it will endeavour to respond to the OECD skills strategy review. This highlights the need for a more balanced educational and skills system. The Deputy mentioned apprenticeships. The 16 ETBs are uniquely positioned within the tertiary education landscape to address those core immediate skills. As the Minister said, we were down yesterday at the Mount Lucas construction training centre with the modern methods of construction, MMC, accelerator platform. It was really good to see some of the positive things happening.",Education & Childcare,995
2024-10-17,Public Transport,Deputy Violet-Anne Wynne,"I want to raise route 336 with the Minister. A lady was in contact with me who has to travel from Kilmihil to Ennis Monday to Friday for her further and higher education course. It is 29.8 km and it costs her €81 per week, which is not sustainable for anyone doing a course. I also want to point to route 343. It has been split into two routes, 330 and 343. This is leading to people having to pay twice what they had to pay before for the same distance. Some are appealing for the 90-minute Leap card to be used in that instance. Also, they have relocated the route. It now goes along the R472 and it is too narrow. There have been a number of near-collisions.",Transport & Infrastructure,661
2025-03-20,Housing Provision,"Minister of State at the Department of Housing, Local Government and Heritage (Deputy Christopher O'Sullivan)","I thank the Deputy for raising this question. I know housing delivery in particular is something he is very passionate about and that he has always been dedicated to. As part of the programme for Government, the Government committed to launching a new, comprehensive starter home programme across the public, private and approved housing body, AHB, sector. This promotes home ownership and secures long-term rental tenures for young people and fresh start applicants. As stated in the programme for Government, the starter home programme will support and deliver an average of 15,000 starter homes per year, including through the first home scheme and the help to buy support, in addition to other affordable purchase and cost-rental schemes. The Government is fully committed to delivering affordable housing at scale and to continue accelerating housing supply across all tenures. The Government’s ambition is to build on the progress made to date under Housing for All, and deliver more than 300,000 homes in the period from 2025 to 2030 equating to an annual average of more than 50,000 homes per year, building up to 60,000 in 2030. Work on translating these revised national housing targets into local, tenure-specific targets is ongoing and at an advanced stage. This work is expected to be completed in the coming months and will be published after the work on the revised national planning framework is complete. These tenure-specific targets will both inform the revision of existing affordable housing targets and further inform the development of the starter home programme supports set out in the programme for Government which will be set out in the new housing plan.",Housing,1681
2025-02-12,Programme for Government,The Taoiseach,"I propose to take Questions Nos. 1 and 2 together. The Programme for Government 2025 - Securing Ireland's Future was approved by the Government on 23 January 2025. We will be working to establish an office in my Department to ensure the full implementation of the programme for Government over the lifetime of the Government. The programme sets out policy and legislative proposals for the full term of this Government across a number of priority areas, namely, growing our economy; delivery and reform; accelerating housing supply; protecting our environment; investing in our future; a caring society; thriving communities; safe and secure communities; enriching our society and culture; Ireland’s place in the world; and political reform. The programme for Government also includes details on the functioning of Government, which includes the office to which Deputy Moynihan refers. Over the lifetime of this Government, we will work hard to implement the commitments that have been set out. The Department of the Taoiseach will, via the Cabinet committee system, play a key role in the monitoring and implementation of the programme for Government and ensuring that a whole-of-government approach is taken to delivery. We are in the first weeks of this Administration and the Government will shortly put in place a refocused system of Cabinet committees which will be central to the policy development, oversight and implementation of the programme for Government commitments.",Government & Administration,1480
2025-03-27,Community Development Projects,Deputy Liam Quaide,"Playgrounds are central parts of a flourishing community - places where children get to explore, have fun, challenge themselves and connect with peers. To provide for children in these respects, Midleton requires a much larger playground than either of the two that we currently have. Ballinacurra, which is just outside Midleton, has no playground at all for a rising population. We also need a skate park in Midleton. In addition, we need disability-accessible equipment. In short, our young people deserve better. I thank the local council officials for obtaining €50,000 through a community recognition fund application after I raised the need for a playground upgrade over an extended period. Unfortunately, we need multiples of that amount. It should not fall on committees of families to seek out such funding. I am currently part of a committee of local families, along with my councillor colleague, Eamonn Horgan, and we are exploring all of the funding streams the Minister mentioned to provide expanded and upgraded playground provision in Midleton and Ballinacurra.",Government & Administration,1077
2025-02-26,Military Neutrality,Deputy Richard Boyd Barrett,"Whatever. They also, in their hundreds of thousands, protested about decisions of previous Fianna Fáil and Fine Gael Governments to allow millions of US troops to go through Shannon Airport to assist US-UK led wars in Iraq and Afghanistan, where hundreds of thousands of people were slaughtered on the basis of lies put out by the US. The coalition Government of which the Tánaiste was a member allowed that to happen. Why would we trust the Government when it had NATO generals overseeing our troops in Cork at least twice in the past couple of years? Why would we trust it when the Department of Defence has employed a US Pentagon-based contractor imbued with US values to redesign our Defence Forces? Why would we trust it when it is involving us with the PESCO alliance, which is aligned with NATO and dominated by the US, the UK, France and Germany, some of the biggest imperial powers with brutal records of warmongering? Why would we trust it?",Defence & Security,950
